1.000000000000000082e-05 1.544963698832335020e+01
1.059560179277617057e-05 1.647276767367088723e+01
1.122667773510813544e-05 1.756365227674033136e+01
1.189534067370320835e-05 1.872677729173144101e+01
1.260382929679727389e-05 1.996692624981461606e+01
1.335451562929900141e-05 2.128919939174859621e+01
1.414991297434575937e-05 2.269903458653945094e+01
1.499268432786047117e-05 2.420222962670863609e+01
1.588565129428052877e-05 2.580496611509368421e+01
1.683180353330958413e-05 2.751383487389741234e+01
1.783430876931909215e-05 2.933586290150980957e+01
1.889652339691211472e-05 3.127854210450205841e+01
2.002200371815584479e-05 3.334986022534116046e+01
2.121451784910631934e-05 3.555833366314640642e+01
2.247805833548725246e-05 3.791304224658203026e+01
2.381685551976160786e-05 4.042366631201227278e+01
2.523539170434765982e-05 4.310052667014432615e+01
2.673841615839949297e-05 4.595462697576235200e+01
2.833096101839323942e-05 4.899769833317175483e+01
3.001835813575592089e-05 5.224224691474640991e+01
3.180625692794118915e-05 5.570160583511304253e+01
3.370064329271931777e-05 5.938998982763908430e+01
3.570785964900462521e-05 6.332255248707749473e+01
3.783462617131932846e-05 6.751544749358735942e+01
4.008806328898464845e-05 7.198589576131553258e+01
4.247571552536902605e-05 7.675225590069976533e+01
4.500557675700497562e-05 8.183409696799684241e+01
4.768611697714474431e-05 8.725227666388981618e+01
5.052631065335679548e-05 9.302902874536282241e+01
5.353566677410729675e-05 9.918805369776237058e+01
5.672426068491977794e-05 1.057546106753658393e+02
6.010276782070387642e-05 1.127556171369049594e+02
6.368249944718585675e-05 1.202197625588275827e+02
6.747544053110699554e-05 1.281776247561058426e+02
7.149428986597576249e-05 1.366617838969846446e+02
7.575250258771920673e-05 1.457069482230876361e+02
8.026433522257173624e-05 1.553501029682296917e+02
8.504489341802686365e-05 1.656306589150099171e+02
9.011018251665017960e-05 1.765905903039601696e+02
9.547716114208065730e-05 1.882745918293713601e+02
1.011637979766207013e-04 2.007302744472142706e+02
1.071891319205128638e-04 2.140083536415198182e+02
1.135733358343105206e-04 2.281628083196118553e+02
